Name,Address,City,State,Zip,County,Phone,Administrator,Licensee,Facility Number,Type,Status,Capacity,License Date,GPO
"IVY PARK AT PLAYA VISTA","5555 PLAYA VISTA DRIVE","PLAYA VISTA",CA,90094,"LOS ANGELES","(310) 437-7178","ELIGIO, NESTOR","TRANSFORMER OPCO LLC;OAKMONT MANAGEMENT GROUP LLC",198320432,"RESIDENTIAL CARE ELDERLY",PENDING,102,,"Vizient"
"MIDTOWN VILLA","2789 RAFFERTY RD.","HEMET",CA,92545,"RIVERSIDE","(951) 566-6610","AGBISIT, MICHAEL","PACIFIC INLAND HEALTHCARE SYSYTEM CORPORATION",331881004,"RESIDENTIAL CARE ELDERLY",LICENSED,102,2/17/2021,"None"
"OAKMONT OF AGOURA HILLS","29353 CANWOOD STREET","AGOURA HILLS",CA,91301,"LOS ANGELES","(747) 755-5700","CHAPARYAN,LILIT","OAKMONT SR. LVNG. OF AGOURA HILLS OPCO LLC:OAKMONT",195850344,"RESIDENTIAL CARE ELDERLY",LICENSED,102,4/23/2024,"Vizient"
"GARDENS AT ESCONDIDO","1342 NORTH ESCONDIDO BLVD","ESCONDIDO",CA,92026,"SAN DIEGO","(760) 480-8155","MONICA FLORES","PACIFICA EL NORTE LP;ESCONDIDO EL NORTE MGR. LLC.",374604545,"RESIDENTIAL CARE ELDERLY",LICENSED,101,2/28/2023,"None"
"OAKMONT OF CARMICHAEL","4717 ENGLE ROAD","CARMICHAEL",CA,95608,"SACRAMENTO","(916) 483-3800","FRANGIEH, CAROLINE","WELLTOWER CARMICHAEL TENANT LLC;OAKMONT MGMT",342700751,"RESIDENTIAL CARE ELDERLY",LICENSED,101,5/3/2021,"Vizient"
"WESTMONT OF ENCINITAS","1920 SOUTH EL CAMINO REAL","ENCINITAS",CA,92024,"SAN DIEGO","(760) 452-6037","BENJIE DOCTOLERO","WESTMONT MGR GP OF ENCINITAS OP; WESTMONT LIVING",374604318,"RESIDENTIAL CARE ELDERLY",LICENSED,101,6/25/2021,"None"
"AEGIS ASSISTED LIVING OF APTOS","125 HEATHER TERRACE","APTOS",CA,95003,"SANTA CRUZ","(831) 684-2700","GALVAN, GRISELDA","HEATHER TERRACE APTOS LLC;AEGIS SR COMMUNITIES LLC",445202706,"RESIDENTIAL CARE ELDERLY",LICENSED,100,3/25/2019,"Premier"
"AEGIS ASSISTED LIVING OF MORAGA","950 COUNTRY CLUB DRIVE","MORAGA",CA,94556,"CONTRA COSTA","(925) 377-7900","MARIA ANGELES STICKA","AEGIS SENIOR COMMUNITIES, LLC",75601424,"RESIDENTIAL CARE ELDERLY",LICENSED,100,1/16/2009,"Premier"
"AEGIS LIVING GRANADA HILLS","10801 LINDLEY AVE","GRANADA HILLS",CA,91344,"LOS ANGELES","(818) 363-3373","LANCE SHENK","LINDLEY AVE GRANADA HILLS LLC ; AEGIS SENIOR ET AL",197610151,"RESIDENTIAL CARE ELDERLY",LICENSED,100,6/7/2021,"Premier"
"AEGIS LIVING SAN FRANCISCO","2280 GELLERT BLVD","SOUTH SAN FRANCISCO",CA,94080,"SAN MATEO","(650) 952-6100","CECILIA DAUTH","GELLERT BLVD SAN FRANCISCO LLC & AEGIS SENIOR COMM",415601101,"RESIDENTIAL CARE ELDERLY",LICENSED,100,6/8/2021,"Premier"
"AEGIS LIVING VENTURA","4964 TELEGRAPH ROAD","VENTURA",CA,93003,"VENTURA","(805) 650-1114","LANCE SHENK","TELEGRAPH RD VENTURA LLC; AEGIS SENIOR COMMUNITIES",565850141,"RESIDENTIAL CARE ELDERLY",LICENSED,100,7/14/2021,"Premier"
"ALMAVIA OF CAMARILLO","2500 NORTH PONDEROSA DRIVE","CAMARILLO",CA,93010,"VENTURA","(805) 388-5277","MICHAEL O'NEILL","ELDER CARE ALLIANCE OF CAMARILLO, ECA",565800682,"RESIDENTIAL CARE ELDERLY",LICENSED,100,11/2/2001,"Premier"
"ANSEL PARK SENIOR LIVING COMMUNITY","1200 ORCHID DRIVE","ROCKLIN",CA,95765,"PLACER","(916) 250-0770","PAYNE, KEITH","TCG ROCKLIN CAMPUS LLC; SAGORA SENIOR LIVING INC",312700574,"RESIDENTIAL CARE ELDERLY",LICENSED,100,11/13/2019,"Premier"
"BELMAR VILLA","2020 NORTH WEBER AVENUE","FRESNO",CA,93705,"FRESNO","(559) 486-5977","HRIPSIME MAKARYAN","BELMAR VILLA LLC",107206861,"RESIDENTIAL CARE ELDERLY",LICENSED,100,9/1/2014,"None"
"BROOKDALE PAULIN CREEK","2375 RANGE AVE","SANTA ROSA",CA,95403,"SONOMA","(707) 575-3722","ALVARADO, ROBERT","BLC LODGE AT PAULIN INC GP, BLC LODGE AT PAULIN LP",496803339,"RESIDENTIAL CARE ELDERLY",LICENSED,100,1/23/2012,"Premier"
"BRUNSWICK VILLAGE","316 OLYMPIA PARK CIRCLE","GRASS VALLEY",CA,95945,"NEVADA","(530) 274-1992","LAINE, KRISTIE","GRASS VALLEY SH,INTEGRAL SENIOR LIVING MNGT LLC",292700174,"RESIDENTIAL CARE ELDERLY",LICENSED,100,6/16/2017,"Vizient"
"CIELA","17310 WEST VEREDA DELA MONTURA","PACIFIC PALISADES",CA,90272,"LOS ANGELES","(917) 667-5303","SHRAM, RONY","CIELA LLC; MILLENNIUM ADVISORS, INC.",198320375,"RESIDENTIAL CARE ELDERLY",LICENSED,100,11/22/2023,"None"
"COGIR OF TURLOCK","3791 CROWELL ROAD","TURLOCK",CA,95382,"STANISLAUS","(209) 664-9500","JOHNS, JANET","WELL CA WA TENANT LLC; COGIR MANAGEMENT USA INC",502701180,"RESIDENTIAL CARE ELDERLY",LICENSED,100,6/1/2022,"None"
"FINE GOLD MANOR","10537 MAGNOLIA BLVD.","NORTH HOLLYWOOD",CA,91601,"LOS ANGELES","(818) 761-5777","CRISTINA GOMEZ","TOLUCA LAKE MANAGEMENT CORP.",195850520,"RESIDENTIAL CARE ELDERLY",LICENSED,100,2/12/2025,"None"
"FRESNO SENIOR LIVING","1715 E ALLUVIAL AVENUE","FRESNO",CA,93720,"FRESNO","(559) 298-4900","MONTELONGO, BRANDON","HSRE-PACIFICA I TRS GP LLC, GP OF HSRE ET AL",107209116,"RESIDENTIAL CARE ELDERLY",LICENSED,100,2/16/2023,"Premier"
"GLEN PARK AT VALLEY VILLAGE","5527 LAUREL CANYON BLVD","VALLEY VILLAGE",CA,91607,"LOS ANGELES","(818) 769-6626","MARILOU MENDOZA","GLEN PARK AT VALLEY VILLAGE",197603165,"RESIDENTIAL CARE ELDERLY",LICENSED,100,1/31/2001,"None"
"GROVES OF TUSTIN, THE","1262 BRYAN AVE","TUSTIN",CA,92780,"ORANGE","(714) 730-5009","MCBRIDE, FERLINA","CSH TUSTIN LESSEE LLC/SPECIALIZED COMMUNITY HEALTH",306004718,"RESIDENTIAL CARE ELDERLY",LICENSED,100,3/12/2015,"None"
"GROVES OF TUSTIN, THE","1262 BRYAN AVENUE","TUSTIN",CA,92780,"ORANGE","(714) 627-5947","AQUINO, ROBIN","EVEREST TUSTIN BLESSING STAR, LLC & SCHC (MANAGER)",306006736,"RESIDENTIAL CARE ELDERLY",PENDING,100,,"None"
"IVY PARK AT OAKLAND HILLS","11889 SKYLINE BOULEVARD","OAKLAND",CA,94619,"ALAMEDA","(510) 531-7190","HARRELL, YOLANDA","TRANSFORMER OPCO LLC;OAKMONT MANAGEMENT GROUP LLC",19201329,"RESIDENTIAL CARE ELDERLY",LICENSED,100,10/2/2024,"Vizient"
"IVY PARK AT SABRE SPRINGS","12515 SPRINGHURST DRIVE","SAN DIEGO",CA,92128,"SAN DIEGO","(858) 391-9160","DAYNES, ROBERT","TRANSFORMER OPCO LLC;OAKMONT MANAGEMENT GROUP LLC",374604747,"RESIDENTIAL CARE ELDERLY",LICENSED,100,3/15/2024,"Vizient"
"IVY PARK AT SANTA MONICA","1312 15TH ST","SANTA MONICA",CA,90404,"LOS ANGELES","(310) 899-1976","VILLARUZ, JUDITH UY","AL SANTA MONICA SR HSG; OAKMONT MGMT.GROUP LLC",198204069,"RESIDENTIAL CARE ELDERLY",LICENSED,100,10/17/2003,"Vizient"
"IVY PARK AT WOOD RANCH","190 TIERRA REJADA WAY","SIMI VALLEY",CA,93065,"VENTURA","(805) 584-8881","LILIT E MNATSAKANYAN","TRANSFORMER OPCO LLC;OAKMONT MANAGEMENT GROUP LLC",565850424,"RESIDENTIAL CARE ELDERLY",LICENSED,100,7/24/2024,"Vizient"
"MELROSE GARDENS","960 N. MARTEL AVENUE","LOS ANGELES",CA,90046,"LOS ANGELES","(323) 876-1746","VILLEGAS, MARCO","DANMAR VILLAS LLC",197610370,"RESIDENTIAL CARE ELDERLY",LICENSED,100,9/28/2023,"Premier"
"MERRILL GARDENS AT BANKERS HILL","2567 2ND AVENUE","SAN DIEGO",CA,92103,"SAN DIEGO","(619) 209-5216","HANSEN, LORI","MG AT BANKERS HILL,LP;SHI-IV MERRILL GP,LLC; ET AL",374604405,"RESIDENTIAL CARE ELDERLY",LICENSED,100,9/1/2021,"Premier, Vizient"
"MERRILL GARDENS AT LAFAYETTE","1010 2ND ST","LAFAYETTE",CA,94549,"CONTRA COSTA","(925) 299-6912","SINGH, KAMAR","SHI-III MG GP, SHI-III LAFAYETTE; MERRILL GARDENS",79200597,"RESIDENTIAL CARE ELDERLY",LICENSED,100,5/25/2017,"Premier, Vizient"
"ROYAL VISTA SAN GABRIEL","901 W SANTA ANITA ST","SAN GABRIEL",CA,91776,"LOS ANGELES","(626) 289-8889","SARAH RAFAEL","ROYAL VISTA SAN GABRIEL LLC",198602564,"RESIDENTIAL CARE ELDERLY",LICENSED,100,5/23/2018,"Premier"
"SAVANT OF BURBANK EAST","1900 GRISMER AVE","BURBANK",CA,91504,"LOS ANGELES","(818) 843-3141","ACHARYA, NIRJARA","LEBLEUCHATEAU, INC.",198603136,"RESIDENTIAL CARE ELDERLY",LICENSED,100,2/21/2019,"Premier"
"SAVANT OF BURBANK WEST","1911 GRISMER AVE","BURBANK",CA,91504,"LOS ANGELES","(818) 295-2727","VALDEZ, SILVIA","LEBLEUCHATEAU,INC.",198603137,"RESIDENTIAL CARE ELDERLY",LICENSED,100,2/21/2019,"None"
"SPOELSTRA LLC DBA VOICE NORWALK","13000 SAN ANTONIO DRIVE","NORWALK",CA,90650,"LOS ANGELES","(562) 929-4345","BLESS, DANA","SPOELSTRA LLC",198603882,"RESIDENTIAL CARE ELDERLY",PENDING,100,,"None"
"VISTAS ASSISTED LIVING & MEMORY CARE, THE","3030 HERITAGETOWN DRIVE","REDDING",CA,96002,"SHASTA","(530) 222-8969","NATE ECHOLS","REDDING ASSISTED LIVING,LLC & RIDGELINE MANAGEMENT",455002049,"RESIDENTIAL CARE ELDERLY",LICENSED,100,1/2/2008,"Premier"
"VISTAS AT OXNARD SENIOR LIVING,THE","2211 E GONZALES RD","OXNARD",CA,93036,"VENTURA","(805) 983-6808","JOVANY GUERRA","PACIFICA L 32 LLC; ALLY SENIOR LIVING, LLC",565802425,"RESIDENTIAL CARE ELDERLY",ON PROBATION,100,4/10/2018,"Premier"
"WESTMONT OF PINOLE","2850 ESTATES AVE","PINOLE",CA,94564,"CONTRA COSTA","(510) 758-1122","REMIGIO, RICHARD","WESTMONT MANAGER GP LLC; WESTMONT LIVING INC",79200801,"RESIDENTIAL CARE ELDERLY",LICENSED,100,4/23/2019,"None"
"WOODLAND GARDENS SENIOR LIVING","240 PALM AVE","WOODLAND",CA,95695,"YOLO","(530) 661-0574","PAZ, DIANA","WOODLAND GARDENS SENIOR LIVING LLC",576804194,"RESIDENTIAL CARE ELDERLY",LICENSED,100,8/28/2023,"None"
"YORKSHIRE VILLAGE","26933 CORNELL ST","HEMET",CA,92544,"RIVERSIDE","(951) 658-1068","TERESA MAPILIS","DORTEN ENTERPRISES",331800223,"RESIDENTIAL CARE ELDERLY",LICENSED,100,5/18/2018,"Premier"
"ACACIA VILLAS","1620 E. CHAPMAN AVENUE","FULLERTON",CA,92831,"ORANGE","(714) 879-0920","TAMMY JOO","KAIROS MANAGEMENT ONE, LLC",306004749,"RESIDENTIAL CARE ELDERLY",LICENSED,99,7/29/2015,"Premier"
"ARCADIA LIVING","601 SUNSET BLVD","ARCADIA",CA,91007,"LOS ANGELES","(323) 422-8030","ZHANG, JINFANG","ARCADIA LIVING LLC",198603821,"RESIDENTIAL CARE ELDERLY",PENDING,99,,"Premier"
"CAMBRIDGE COURT","1621 COMMONWEALTH AVENUE, EAST","FULLERTON",CA,92831,"ORANGE","(714) 992-1750","LAUREN CHON","S.H.A.L. MANAGEMENT, INC.",306004761,"RESIDENTIAL CARE ELDERLY",LICENSED,99,7/29/2015,"Premier, Vizient"
"CARLTON SENIOR LIVING SACRAMENTO ATRIUM","1071 FULTON AVENUE","SACRAMENTO",CA,95825,"SACRAMENTO","(916) 971-4800","KASIE WIMMER","CARLTON CROWN PLAZA/SAC LP; CARLTON SR LVG LLC",342701212,"RESIDENTIAL CARE ELDERLY",LICENSED,99,9/19/2022,"None"
"CASA EL CAJON","306 SHADY LANE","EL CAJON",CA,92021,"SAN DIEGO","(619) 440-1335","REBECCA RAYO","LILLIAN FRANKLIN",370804788,"RESIDENTIAL CARE ELDERLY",LICENSED,99,1/31/1991,"None"
"COGIR OF STOCK RANCH","7418 STOCK RANCH RD","CITRUS HEIGHTS",CA,95621,"SACRAMENTO","(916) 725-7418","DAVID JR., RICKY","WELLTOWER COGIR TENANT LLC;COGIR MGT USA INC",342700471,"RESIDENTIAL CARE ELDERLY",LICENSED,99,2/1/2019,"Premier"
"COMMONWEALTH ROYALE GUEST HOME","150 S. COMMONWEALTH AVE","LOS ANGELES",CA,90004,"LOS ANGELES","(213) 382-6381","MAYA MNOYAN","COMMONWEALTH GOLDEN AGE CORPORATION",197603385,"RESIDENTIAL CARE ELDERLY",LICENSED,99,8/9/2001,"None"
"EVERGREEN RETIREMENT","225 NORTH EVERGREEN STREET","BURBANK",CA,91505,"LOS ANGELES","(818) 843-8268","TANYA QUEZADA","225 N EVERGREEN ST INC",197609022,"RESIDENTIAL CARE ELDERLY",LICENSED,99,6/19/2017,"Premier"
"FULLERTON ROSEWOOD ASSISTED LIVING","411 E. COMMONWEALTH AVENUE","FULLERTON",CA,92832,"ORANGE","(714) 441-0644","JANE KIM","FULLERTON ROSEWOOD ASSISTED LIVING,INC.",306003448,"RESIDENTIAL CARE ELDERLY",LICENSED,99,2/14/2007,"Premier"
"HALLMARK OF BAKERSFIELD","2001 AKERS ROAD","BAKERSFIELD",CA,93309,"KERN","(661) 834-0200","CANDELAS, ASHLEY L.","HALLMARK SENIOR LIVING LLC",157209304,"RESIDENTIAL CARE ELDERLY",LICENSED,99,3/22/2023,"Premier"
"HIGHGATE SENIOR LIVING-TEMECULA","42301 MORAGA ROAD","TEMECULA",CA,92591,"RIVERSIDE","(951) 308-1885","GOMEZ, RICARDO","BURON CONSTRUCTION INC. GP OF HIGHGATE TEMECULA LP",331800160,"RESIDENTIAL CARE ELDERLY",LICENSED,99,1/9/2018,"None"
"JASMIN TERRACE AT BAKERSFIELD","5400 STINE ROAD","BAKERSFIELD",CA,93313,"KERN","(661) 398-8802","ELECO, RAMONA D.","CVVG MANAGEMENT LLC",157208773,"RESIDENTIAL CARE ELDERLY",LICENSED,99,6/30/2017,"None"
"LOTUS VILLA AND MEMORY CARE","9448 CITRUS AVENUE","FONTANA",CA,92335,"SAN BERNARDINO","(909) 355-6887","HEATHER O'NEEL","LOTUS VILLA AFFILIATE, LLC",365530102,"RESIDENTIAL CARE ELDERLY",LICENSED,99,11/27/2023,"Premier"
"MARYMOUNT VILLA RETIREMENT CENTER","345 DAVIS STREET","SAN LEANDRO",CA,94577,"ALAMEDA","(510) 895-5007","DOLLY RIZVI","MARYMOUNT VILLA, LLC",15601083,"RESIDENTIAL CARE ELDERLY",LICENSED,99,11/23/2004,"Premier"
"OMEO ARCADIA LIVING","601 SUNSET BLVD","ARCADIA",CA,91007,"LOS ANGELES","(323) 422-8030","ZHANG, JINGFANG","DR. TJ SYIAU MEDICAL CORPORATION",198603648,"RESIDENTIAL CARE ELDERLY",LICENSED,99,8/31/2023,"None"
"PROSPECT MANOR","800 PROSPECT AVE","SOUTH PASADENA",CA,91030,"LOS ANGELES","(626) 799-1141","LYDIA PABION","BAJ MANAGEMENT, INC.",197603952,"RESIDENTIAL CARE ELDERLY",LICENSED,99,2/20/2003,"None"
"SIERRA VISTA","13815 RODEO DRIVE","VICTORVILLE",CA,92395,"SAN BERNARDINO","(760) 243-2271","MEJIA, KIMBERLY","SIERRA VISTA ALF LLC",365530261,"RESIDENTIAL CARE ELDERLY",LICENSED,99,10/14/2024,"Premier"
"SISKIYOU SPRINGS ASSISTED LIVING AND MEMORY CARE","351 BRUCE ST","YREKA",CA,96097,"SISKIYOU","(530) 842-4300","AGUIRRE, JULISSA","WESTVIEW ESTATES SENIOR LIVING LLC",475920312,"RESIDENTIAL CARE ELDERLY",PENDING,99,,"None"
"SUMMERFIELD SENIOR LIVING","1224 PLUMAS STREET","YUBA CITY",CA,95991,"SUTTER","(530) 755-3850","GILDEA, CHANTEL","SUMMERFIELD INVESTORS LLC",515002613,"RESIDENTIAL CARE ELDERLY",LICENSED,99,6/19/2017,"Premier, Vizient"
"VINE RIDGE SENIOR LIVING","247 TREADWAY DRIVE","CLOVERDALE",CA,95425,"SONOMA","(707) 791-4787","LUA, CARLA","WESTERN LIVING CONCEPTS INC",496803825,"RESIDENTIAL CARE ELDERLY",LICENSED,99,11/25/2019,"None"
"VISTA GARDENS MEMORY CARE","1863 DEVON PLACE","VISTA",CA,92084,"SAN DIEGO","(760) 295-3900","CAROLINE SENTENO","DEVON CARE LLC",371881517,"RESIDENTIAL CARE ELDERLY",LICENSED,99,7/26/2024,"Premier"
"WESTBOROUGH ROYALE","89 WESTBOROUGH BLVD","SOUTH SAN FRANCISCO",CA,94080,"SAN MATEO","(650) 872-0400","KELLY, BRIDGET","BERG SENIOR SERVICES, LLC.",415600306,"RESIDENTIAL CARE ELDERLY",LICENSED,99,7/12/2002,"None"
"WESTMONT OF CHICO-THE INN AT THE TERRACES","2950 SIERRA SUNRISE TERRACE","CHICO",CA,95928,"BUTTE","(530) 894-5429","KEENE, CLIFF","INN OPERATIONS, LP, THE; WESTMONT LIVING, INC.",45002620,"RESIDENTIAL CARE ELDERLY",ON PROBATION,99,11/22/2017,"Premier"
"WESTMONT OF SANTA BARBARA","190 VIAJERO DR","GOLETA",CA,93117,"SANTA BARBARA","(805) 265-4327","JADE ALMA-HARRIS","MARIPOSA MGR GP OF MARIPOSA OPER; WESTMONT LIVING",425802106,"RESIDENTIAL CARE ELDERLY",LICENSED,99,8/29/2017,"None"
"AEGIS LIVING SAN RAFAEL","800 MISSION AVE","SAN RAFAEL",CA,94901,"MARIN","(425) 861-9993","ABUSBAITAN, RABAH","AEGIS SENIOR COMMUNITIES LLC",216804321,"RESIDENTIAL CARE ELDERLY",PENDING,98,,"None"
"ALTA VISTA SENIOR LIVING","2041 W VISTA WAY","VISTA",CA,92083,"SAN DIEGO","(760) 941-3233","JENNIFER GEPHART","PACIFICA REGENCY PALMS LLC; ALTA VISTA MGR LLC",374604176,"RESIDENTIAL CARE ELDERLY",LICENSED,98,10/10/2019,"Premier"
"CARRINGTON OF SHAFTER","250 E TULARE AVE","SHAFTER",CA,93263,"KERN","(661) 746-6521","JAIME, AMANDA N","CARRINGTON SENIOR LIVING LLC",157209599,"RESIDENTIAL CARE ELDERLY",PENDING,98,,"Premier"
"GARDENS OF RIVERSIDE, THE","10849 ARLINGTON AVENUE","RIVERSIDE",CA,92505,"RIVERSIDE","(951) 637-8844","GARCIA, GRISELDA GRACIE.","THARON RIVERSIDE LLC",335530134,"RESIDENTIAL CARE ELDERLY",LICENSED,98,1/28/2025,"Premier"
"GLEN PARK AT GLENDALE - BOYNTON ST","1250 BOYNTON ST","GLENDALE",CA,91205,"LOS ANGELES","(818) 246-9000","SUSAN PARK","GLEN PARK AT GLENDALE - BOYNTON ST",197608505,"RESIDENTIAL CARE ELDERLY",LICENSED,98,5/30/2013,"None"
"GOLDEN MANOR REST HOME","3535 OVERLAND AVENUE","LOS ANGELES",CA,90034,"LOS ANGELES","(310) 836-0510","MARK INGBER","3535 OVERLAND AVE., LLC",197606170,"RESIDENTIAL CARE ELDERLY",LICENSED,98,5/20/2005,"None"
"PACIFICA SENIOR LIVING SOUTH COAST","2619 ORANGE AVE","COSTA MESA",CA,92627,"ORANGE","(949) 515-0121","YAYLENE MAZARIEGOS","PACIFICA ORANGE COUNTY LLC; COSTA MESA OPERATIONS",306005272,"RESIDENTIAL CARE ELDERLY",LICENSED,98,5/7/2019,"Premier"
"VINEYARD RANCH AT TEMECULA","27350 NICOLAS ROAD","TEMECULA",CA,92591,"RIVERSIDE","(951) 308-1988","KELLEY LARA","TRITON TEMECULA, LLC; NORTHSTAR SENIOR LIVING",331881258,"RESIDENTIAL CARE ELDERLY",LICENSED,98,3/1/2022,"Premier"
"WEST GLENN MANOR","7242 WESTMINSTER BLVD.","WESTMINSTER",CA,92683,"ORANGE","(714) 898-2131","ROSARIO NAZARENO","WEST GLENN MANOR INC.",306003060,"RESIDENTIAL CARE ELDERLY",LICENSED,98,1/1/2006,"None"
"CROWN COVE","3901 EAST COAST HIGHWAY","CORONA DEL MAR",CA,92625,"ORANGE","(760) 547-2863","JANETTE HILL","NEWPORT BEACH CA SR HSNG, LLC; ATSC II LLC",306005642,"RESIDENTIAL CARE ELDERLY",LICENSED,97,11/20/2019,"Premier"
"IVY PARK AT PALO ALTO","2701 EL CAMINO REAL","PALO ALTO",CA,94306,"SANTA CLARA","(703) 273-7500","STEPHANIE BRICE","HCRI SUN III TENANT; OAKMONT MANGEMENT GROUP LLC",435202623,"RESIDENTIAL CARE ELDERLY",LICENSED,97,8/13/2018,"Vizient"
"IVY PARK AT PALO ALTO","2701 EL CAMINO ROAD","PALO ALTO",CA,94306,"SANTA CLARA","(650) 326-1108","BRICE, STEPHANIE","TRANSFORMER OPCO LLC;OAKMONT MANAGEMENT GROUP LLC",435202929,"RESIDENTIAL CARE ELDERLY",PENDING,97,,"Vizient"
"MOTHER GERTRUDE HOME","11320 LAUREL CANYON BLVD","SAN FERNANDO",CA,91340,"LOS ANGELES","(818) 898-1546","SR. ELIA CARO","FRANCISCAN MISSIONARY SISTERS OF THE I.C.",191290719,"RESIDENTIAL CARE ELDERLY",LICENSED,97,2/28/1993,"None"
"OAKMONT OF BURLINGAME","1818 TROUSDALE DRIVE","BURLINGAME",CA,94010,"SAN MATEO","(650) 692-2805","JANNA O'SULLIVAN","TRANSFORMER OPCO LLC;OAKMONT MANAGEMENT GROUP LLC",415601178,"RESIDENTIAL CARE ELDERLY",LICENSED,97,7/17/2024,"Vizient"
"OAKMONT OF WHITTIER","13617 WHITTIER BLVD.","WHITTIER",CA,90605,"LOS ANGELES","(562) 693-8222","RUNGE, ADRIANE","OAKMONT SR. LVNG. OF WHITTIER OPCO, LLC; OAKMONT",198603479,"RESIDENTIAL CARE ELDERLY",LICENSED,97,9/7/2021,"Vizient"
"PASADENA VILLA SENIOR LIVING","1811 N. RAYMOND AVE","PASADENA",CA,91103,"LOS ANGELES","(626) 791-6232","MURPHY, MICHAEL","PASADENA VILLA, INC.",198603286,"RESIDENTIAL CARE ELDERLY",LICENSED,97,3/18/2020,"Premier"
"STRATFORD, THE","601 LAUREL AVE","SAN MATEO",CA,94401,"SAN MATEO","(650) 342-4106","JANIE WOO","SUNRISE STRATFORD GP & LP; SUNRISE SENIOR LVG MGT",415600689,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,96,8/1/2006,"None"
"AEGIS ASSISTED LIVING OF LAGUNA NIGUEL","32170 NIGUEL ROAD","LAGUNA NIGUEL",CA,92677,"ORANGE","(949) 496-8080","KURT KNAUER","AEGIS SENIOR COMMUNITIES, LLC",306003905,"RESIDENTIAL CARE ELDERLY",LICENSED,96,9/11/2008,"None"
"CENTINELA ASSISTED LIVING CENTRE","1000 S FLOWER ST","INGLEWOOD",CA,90301,"LOS ANGELES","(310) 674-3216","GWENDOLYN CRAIG","CENTINELA ASSISTED LIVING MANAGEMENT LLC",197607718,"RESIDENTIAL CARE ELDERLY",LICENSED,96,5/19/2009,"None"
"FARMSTEAD AT DIXON, THE","350 GATEWAY DRIVE","DIXON",CA,95620,"SOLANO","(707) 676-5060","MARK REYES","JACK NAPIER PROPERTIES; CALSON MNGMNT LLC",486804191,"RESIDENTIAL CARE ELDERLY",LICENSED,96,1/25/2024,"None"
"FOREMOST RETIREMENT RESORT INC","17581 SULTANA STREET","HESPERIA",CA,92345,"SAN BERNARDINO","(760) 244-5579","TURNER, DANICA","FOREMOST RETIREMENT RESORT INC",365530210,"RESIDENTIAL CARE ELDERLY",LICENSED,96,2/26/2025,"None"
"IVY PARK AT BONITA","3302 BONITA ROAD","CHULA VISTA",CA,91910,"SAN DIEGO","(619) 470-2220","NEWTON, RANDAL","TRANSFORMER OPCO LL;OAKMONT MANAGEMENT GROUP LLC",374604757,"RESIDENTIAL CARE ELDERLY",LICENSED,96,9/27/2024,"Vizient"
"RESIDENCES AT ROYAL BELLINGHAM, THE","12229 CHANDLER BOULEVARD","VALLEY VILLAGE",CA,91607,"LOS ANGELES","(818) 980-2997","LORI MCKAY","RESIDENCES AT ROYAL BELLINGHAM INC., THE",197608129,"RESIDENTIAL CARE ELDERLY",LICENSED,96,5/16/2011,"None"
"SILVERADO SENIOR LIVING-SAN JUAN CAPISTRANO","30311 CAMINO CAPISTRANO","SAN JUAN CAPISTRANO",CA,92675,"ORANGE","(949) 240-0550","SHEILA FIKE","SILVERADO SAN JUAN CAPISTRANO, LLC; SILVERADO SR.",306005691,"RESIDENTIAL CARE ELDERLY",LICENSED,96,3/1/2021,"None"
"VISTA DEL LAGO MEMORY CARE","1817 AVENIDA DEL DIABLO","ESCONDIDO",CA,92029,"SAN DIEGO","(760) 741-2888","MARIE HILL","DEL DIOS CARE, LLC;BAYSHIRE, LLC",374604274,"RESIDENTIAL CARE ELDERLY",LICENSED,96,9/9/2020,"Premier"
"AEGIS ASSISTED LIVING AT SHADOWRIDGE","1440 SOUTH MELROSE DRIVE","OCEANSIDE",CA,92056,"SAN DIEGO","(760) 806-3600","LANCE SHENK","AEGIS SENIOR COMMUNITIES LLC",374602653,"RESIDENTIAL CARE ELDERLY",LICENSED,95,9/22/2008,"Premier"
"ATRIA CARMICHAEL OAKS","8350 FAIR OAKS BLVD","CARMICHAEL",CA,95608,"SACRAMENTO","(916) 944-2323","DAVIS, KAYLA","WG CARMICHAEL OAKS LP; ATRIA MANAGEMENT CO LLC",347005251,"RESIDENTIAL CARE ELDERLY",LICENSED,95,7/31/2014,"Vizient"
"BLUFFS AT HAMILTON HILL, THE","1 HAMILTON HILL DRIVE","NOVATO",CA,94949,"MARIN","(415) 889-8026","LOMELI. LISA M","HAMILTON HILL I, LLC: MSL COMMUNITY MANAGEMENT LLC",216804066,"RESIDENTIAL CARE ELDERLY",LICENSED,95,9/15/2022,"None"
"CITRUS HILLS ASSISTED LIVING","142 S PROSPECT ST","ORANGE",CA,92869,"ORANGE","(714) 639-3590","ITZAYANA BARBA AGUIRRE","PROSPECT SENIOR LIVING, INC.",306005603,"RESIDENTIAL CARE ELDERLY",LICENSED,95,10/1/2019,"Premier, Vizient"
"COTTAGES AT PALM SPRINGS","1780 E BARISTO RD","PALM SPRINGS",CA,92262,"RIVERSIDE","(760) 322-3444","EDDY, TAMMY","PACIFICA SL PALM SPRINGS LLC;PALM SPRINGS MGR LLC",331880550,"RESIDENTIAL CARE ELDERLY",LICENSED,95,5/13/2019,"Premier"
